tipo_de_entidad,codigo_de_entidad,nombre_entidad,codigo_del_departamento,nombre_del_departamento,region,codigo_del_municipio,nombre_del_municipio,fecha_de_corte,cartera_de_creditos,categoria_a_riesgo_bajo_credito_de_vivienda,categoria_b_riesgo_intermedio_credito_de_vivienda,categoria_c_riesgo_alto_credito_de_vivienda,"categoria_a_riesgo_bajo_garantia_idonea,_creditos_y_leasing_de_consumo","Categoria_b_riesgo_intermedio_garantia_idonea,_creditos_y_leasing_de_consumo","categoria_c_riesgo_alto_garantia_idonea,_creditos_y_leasing_de_consumo","categoria_a_riesgo_bajo_garantia_idonea,_creditos_y_leasing_comerciales","categoria_b_riesgo_intermedio_garantia_idonea,_creditos_y_leasing_de_consumo","categoria_c_riesgo_alto_garantia_idonea,_creditos_y_leasing_comerciales",categoria_a_riesgo_bajo_bienes_dados_en_leasing,categoria_b_riesgo_intermedio_bienes_dados_en_leasing,categoria_c_riesgo_alto_bienes_dados_en_leasing,categoria_a_riesgo_bajo_microcreditos_garantia_idonea,categoria_b_riesgo_intermedio_microcreditos_garantia_idonea,categoria_c_riesgo_alto_microcreditos_garantia_idonea
4,128,Nu O Nu Financiera,22,Sucre,Caribe,820,SANTIAGO DE TOLU (TOLU),2025-09-30,234691292.41,0.0,0.0,0.0,235809202.44,7679437.36,19162765.799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,Ban100 S.A.,4,Bolivar,Caribe,670,SAN PABLO,2025-09-30,62746115.44,0.0,0.0,0.0,60187536.85,3876491.69,5781948.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,17,Nariño,Pacífica,435,MALLAMA,2025-09-30,6302343.19,0.0,0.0,0.0,6349134.85,161180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,1,Antioquia,Andina,321,GUATAPE,2025-09-30,235867342.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207479945.04999998,5517125.41,64066278.309999995
1,51,Ban100 S.A.,5,Boyaca,Andina,87,BELEN,2025-09-30,6745171.84,0.0,0.0,0.0,6925788.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,4,Bolivar,Caribe,140,CALAMAR,2025-09-30,12097050.59,0.0,0.0,0.0,12507938.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,5,Boyaca,Andina,518,PAJARITO,2025-09-30,16607640.68,0.0,0.0,0.0,17057409.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,13,Huila,Andina,244,ELIAS,2025-09-30,18421944.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18616373.85,0.0,188685.98
1,53,Banco W S.A.,27,Putumayo,Amazonía,1,MOCOA,2025-09-30,8658697699.36,0.0,0.0,0.0,454325399.97999996,0.0,0.0,838282082.61,0.0,0.0,0.0,0.0,0.0,7397638190.59,57541894.67,131590464.91
1,59,Leasing Corficolombiana,24,Valle Del Cauca,Pacífica,243,EL AGUILA,2025-09-30,84861244.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83997098.35000001,2173249.78,751149.03
1,59,Leasing Corficolombiana,13,Huila,Andina,872,VILLAVIEJA,2025-09-30,159715516.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146787522.87,6816532.08,18089195.78
1,51,Ban100 S.A.,16,Meta,Orinoquía,270,EL DORADO,2025-09-30,64950354.07,0.0,0.0,0.0,68114130.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65,Leasing Bolivar,7,Caqueta,Amazonía,610,SAN JOSE DE FRAGUA,2025-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,Leasing Corficolombiana,24,Valle Del Cauca,Pacífica,497,OBANDO,2025-09-30,40147249.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40552777.01,0.0,0.0
1,49,Av Villas,1,Antioquia,Andina,631,SABANETA,2025-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,128,Nu O Nu Financiera,10,Cordoba,Caribe,417,LORICA,2025-09-30,873142173.76,0.0,0.0,0.0,883546334.49,15728552.01,91131484.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,62,Mibanco S.A.,4,Bolivar,Caribe,244,EL CARMEN DE BOLIVAR,2025-09-30,6720926775.44,0.0,0.0,0.0,0.0,0.0,0.0,771975057.52,0.0,63767114.57,0.0,0.0,0.0,5806921623.349999,83652467.27,285451260.17
1,65,Leasing Bolivar,11,Cundinamarca,Andina,867,VIANI,2025-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,52,Bancamía S.A.,25,Arauca,Orinoquía,999,TOTAL ARAUCA,2025-09-30,20850159730.77,0.0,0.0,0.0,0.0,0.0,0.0,1940214587.61,44726727.4,0.0,0.0,0.0,0.0,19038555920.359997,308592539.47,363962149.26
